bbl,Submission Date,Heating System Type,Cooling System Type,Has Building Automation,Heating Automation,Cooling Automation
1010030005,2023,District Steam,Plant,yes,yes,yes
1010030029,2023,District Steam,Plant,yes,no,no
1010040020,2024,District Steam,Plant,yes,yes,yes
1010040029,2024,District Steam,Plant,yes,no,yes
1010070029,2017,District Steam,Plant,yes,yes,yes
1010090005,2019,District Steam,DX Cooling,yes,yes,yes
1010100021,2023,District Steam,DX Cooling,yes,no,no
1010120023,2022,Boiler (Gas),DX Cooling,no,no,no
1010130029,2023,District Steam,Plant,yes,yes,no
1010140033,2024,District Steam,Plant,yes,no,yes
1010150029,2017,Boiler (Fuel Oil),Plant,yes,yes,yes
1010160036,2017,District Steam,Plant,yes,yes,yes
1010210019,2021,Boiler (Gas),DX Cooling,yes,yes,yes
1010240015,2024,District Steam,DX Cooling,yes,no,no
1010250025,2015,District Steam,Plant,yes,yes,yes
1010250043,2015,District Steam,Plant,yes,yes,yes
1010260032,2016,Boiler (Fuel Oil),Plant,yes,yes,yes
1010270020,2017,District Steam,Plant,yes,yes,yes
1010280029,2018,District Steam,Plant,no,no,no
1010290053,2019,Boiler (Gas),DX Cooling,yes,yes,yes
1010400029,2022,District Steam,DX Cooling,yes,yes,yes
1010540041,2024,Boiler (Elec),Plant,no,no,no
1011020018,2022,Boiler (Gas),Plant,no,no,no
1011130008,2024,Boiler (Elec),DX Cooling,yes,no,no
1011130051,2023,Steam Plant (Gas),DX Cooling,yes,yes,no
1012590019,2019,District Steam,DX Cooling,no,no,no
1012600024,2021,Boiler (Fuel Oil),Plant,yes,yes,yes
1012600042,2022,Boiler (Fuel Oil),DX Cooling,yes,yes,yes
1012600064,2022,Boiler (Gas),Plant,yes,yes,yes
1012600071,2018,District Steam,DX Cooling,no,no,no
1012610016,2024,Boiler (Gas),Plant,no,no,no
1012610019,2021,Boiler (Fuel Oil),DX Cooling,yes,yes,yes
1012610021,2018,Boiler (Gas),DX Cooling,yes,yes,yes
1012610030,2021,Boiler (Gas),DX Cooling,no,no,no
1012610034,2023,District Steam,Plant,yes,yes,no
1012610036,2021,District Steam,DX Cooling,no,no,no
1012610042,2023,Boiler (Elec),DX Cooling,no,no,no
1012620001,2023,District Steam,Plant,yes,yes,no
1012620024,2023,Boiler (Gas),Plant,yes,yes,no
1012620048,2022,Boiler (Fuel Oil),Plant,yes,yes,yes
1012620054,2022,Boiler (Elec),Plant,no,no,no
1012630007,2024,Boiler (Gas),Plant,yes,yes,no
1012630038,2023,District Steam,Plant,yes,yes,no
1012630051,2023,Boiler (Elec),Plant,no,no,no
1012630059,2024,Boiler (Elec),Plant,no,no,no
1012630071,2023,Boiler (Elec),DX Cooling,no,no,no
1012640040,2024,District Steam,Plant,yes,yes,no
1012670001,2017,District Steam,Plant,yes,yes,yes
1012670041,2013,District Steam,Plant,yes,yes,yes
1012680001,2018,District Steam,Plant,yes,yes,yes
1012690001,2014,District Steam,DX Cooling,yes,yes,yes
1012700049,2022,District Steam,DX Cooling,yes,yes,yes
1012700071,2018,District Steam,Plant,yes,yes,yes
1012710038,2022,District Steam,Plant,yes,yes,yes
1012710071,2021,District Steam,Plant,yes,yes,yes
1012720034,2022,District Steam,Plant,yes,yes,yes
1012720066,2022,District Steam,DX Cooling,yes,yes,yes
1012730001,2023,District Steam,DX Cooling,no,no,no
1012730012,2013,District Steam,Plant,yes,yes,yes
1012750001,2013,District Steam,DX Cooling,yes,yes,yes
1012750012,2016,Boiler (Fuel Oil),DX Cooling,yes,yes,yes
1012750014,2015,Boiler (Gas),Plant,yes,yes,yes
1012750023,2017,District Steam,Plant,yes,yes,yes
1012750059,2015,Boiler (Gas),Plant,no,no,no
1012770069,2017,Boiler (Fuel Oil),Plant,yes,yes,yes
1012780001,2018,District Steam,Plant,yes,yes,yes
1012780014,2018,Boiler (Fuel Oil),Plant,yes,yes,yes
1012790057,2020,District Steam,DX Cooling,yes,yes,yes
1012790069,2021,District Steam,DX Cooling,no,no,no
1012810059,2024,Boiler (Gas),Plant,yes,yes,yes
1012810069,2013,Boiler (Elec),Plant,yes,yes,yes
1012830017,2023,Boiler (Fuel Oil),DX Cooling,yes,no,no
1012830069,2023,District Steam,Plant,yes,yes,no
1012840002,2024,District Steam,DX Cooling,no,no,no
1012840007,2024,District Steam,Plant,yes,yes,yes
1012840056,2017,District Steam,DX Cooling,no,no,no
1012850021,2015,District Steam,Plant,yes,yes,yes
1012870014,2017,District Steam,Plant,yes,yes,yes
1012870021,2017,District Steam,Plant,yes,yes,yes
1012870033,2017,District Steam,Plant,yes,yes,yes
1012880001,2018,District Steam,DX Cooling,yes,yes,yes
1012880007,2018,District Steam,Plant,yes,yes,yes
1012890021,2020,District Steam,Plant,no,no,no
1012890052,2020,Boiler (Elec),DX Cooling,yes,yes,yes
1012900001,2020,District Steam,Plant,yes,yes,yes
1012900003,2020,District Steam,Plant,yes,yes,yes
1012900037,2021,District Steam,Plant,yes,yes,yes
1012910001,2022,District Steam,Plant,yes,yes,yes
1012910021,2021,Boiler (Gas),DX Cooling,no,no,no
1012910028,2021,District Steam,DX Cooling,yes,yes,yes
1012910038,2021,Boiler (Gas),DX Cooling,yes,yes,yes
1012910045,2023,District Steam,Plant,no,no,no
1012920037,2022,District Steam,Plant,yes,yes,yes
1012920048,2024,Boiler (Elec),DX Cooling,no,no,no
1012920052,2023,District Steam,Plant,no,no,no
1012930026,2023,District Steam,DX Cooling,no,no,no
1012930035,2023,District Steam,Plant,yes,no,no
1012930059,2023,District Steam,Plant,yes,no,no
1012930069,2023,District Steam,DX Cooling,yes,yes,no
1012940037,2024,District Steam,Plant,yes,no,yes
1012940046,2018,District Steam,Plant,yes,yes,yes
1012950020,2015,Boiler (Fuel Oil),DX Cooling,no,no,no
1012950023,2015,District Steam,Plant,yes,yes,yes
1012950033,2016,District Steam,Plant,yes,yes,yes
1012960001,2013,Boiler (Gas),DX Cooling,yes,yes,yes
1012970023,2017,District Steam,Plant,no,no,no
1012980023,2018,District Steam,Plant,yes,yes,no
1012990022,2021,District Steam,Plant,yes,yes,yes
1013000001,2018,District Steam,Plant,yes,yes,yes
1013000033,2020,District Steam,Plant,yes,yes,yes
1013010001,2021,District Steam,Plant,yes,yes,yes
1013010023,2023,District Steam,Plant,yes,yes,yes
1013010033,2023,District Steam,Plant,yes,yes,no
1013030001,2023,District Steam,Plant,yes,yes,yes
1013030033,2024,District Steam,DX Cooling,yes,yes,no
1013040033,2024,District Steam,DX Cooling,no,no,no
