bbl,bin,address,latitude,longitude,cooling_towers,water_tanks,total_equipment,has_building_outline
1013750049,1072007.0,667 MADISON AVENUE,40.7645162,-73.9703154,1,0,1,True
1013750016,1040801.0,652 MADISON AVENUE,40.7644807,-73.9711205,1,0,1,True
1012930026,1036061.0,597 MADISON AVENUE,40.7623482,-73.9718289,1,0,1,True
1008510041,1016287.0,304 PARK AVENUE SOUTH,40.7401459,-73.9869656,1,0,1,True
1012910028,1035771.0,65 EAST 55 STREET,40.7608853,-73.9721327,1,0,1,True
1000290070,1000849.0,75 BROAD STREET,40.7046838,-74.0112385,1,0,1,True
1008420042,1016068.0,71 5 AVENUE,40.7363642,-73.9928445,0,1,1,True
1008680072,1017244.0,437 5 AVENUE,40.7513027,-73.9820224,0,1,1,True
1012730031,1035073.0,3 WEST 57 STREET,40.7634714,-73.9744312,1,0,1,True
1009940001,1086069.0,1459 BROADWAY,40.7555193,-73.9868868,1,0,1,True
1012890072,1035738.0,681 5 AVENUE,40.7606335,-73.9752228,1,0,1,True
1008610001,1016981.0,303 5 AVENUE,40.7465026,-73.9854775,0,1,1,True
1012910021,1035770.0,551 MADISON AVENUE,40.7610255,-73.9729124,1,0,1,True
1000430001,1001017.0,44 WALL STREET,40.7067837,-74.0093849,1,0,1,True
1001970007,1002356.0,101 LAFAYETTE STREET,40.717711,-74.0008874,0,1,1,True
1009930001,1022558.0,561 7 AVENUE,40.754792,-73.9875295,0,1,1,True
1000880001,1001232.0,217 BROADWAY,40.7117463,-74.0088518,1,0,1,True
1005120015,1007950.0,591 BROADWAY,40.7251548,-73.9976044,0,0,0,True
1012750008,1081143.0,7 EAST 40 STREET,40.7520298,-73.9808637,0,0,0,True
1012750008,1081144.0,7 EAST 40 STREET,40.7520298,-73.9808637,0,0,0,True
1012600024,1086846.0,19 WEST 44 STREET,40.7555321,-73.9808338,0,0,0,True
1012750069,1035328.0,473 5 AVENUE,40.7524663,-73.9811451,0,0,0,True
1008280033,1015649.0,1140 BROADWAY,40.7439256,-73.9887008,0,0,0,True
1007840077,1014419.0,494 8 AVENUE,40.7525966,-73.9927634,0,0,0,True
1001210001,1089759.0,1 CENTRE STREET,40.7129735,-74.0036757,0,0,0,True
1012730001,1035062.0,1400 AVENUE OF THE AMER,40.764471,-73.9767123,0,0,0,True
1013350005,1038659.0,320 EAST 43 STREET,40.7498622,-73.9712206,0,0,0,True
1008320001,1082276.0,856 AVENUE OF THE AMER,40.7472111,-73.9889167,0,0,0,True
1008320001,1082274.0,856 AVENUE OF THE AMER,40.7472111,-73.9889167,0,0,0,True
1008090049,1015200.0,108 WEST 34 STREET,40.7498076,-73.9885301,0,0,0,True
1012900003,1035742.0,693 5 AVENUE,40.7611577,-73.9748544,0,0,0,True
1012940037,1036084.0,500 PARK AVENUE,40.7628941,-73.9703558,0,0,0,True
1013160030,1037553.0,801 2 AVENUE,40.7504251,-73.9721299,0,0,0,True
1012890028,1035731.0,43 EAST 53 STREET,40.7595983,-73.9733173,0,0,0,True
1012890021,1035728.0,515 MADISON AVENUE,40.7597302,-73.9736854,0,0,0,True
1013230047,1088785.0,805 3 AVENUE,40.7553872,-73.9705397,0,0,0,True
1005310020,1008512.0,383 LAFAYETTE STREET,40.7275041,-73.9928635,0,0,0,True
1008360033,1015876.0,1 WEST 34 STREET,40.7489179,-73.9849356,0,0,0,True
1010210019,1024793.0,1613 BROADWAY,40.7611347,-73.9846441,0,0,0,True
1007860051,1014446.0,498 7 AVENUE,40.7528489,-73.9900275,0,0,0,True
1012950020,1036146.0,363 LEXINGTON AVENUE,40.750459,-73.976432,0,0,0,True
1008400071,1016014.0,42 WEST 39 STREET,40.7522664,-73.9844873,0,0,0,True
1008660076,1017190.0,397 5 AVENUE,40.7499798,-73.9829395,0,0,0,True
1008320001,1082275.0,856 AVENUE OF THE AMER,40.7472111,-73.9889167,0,0,0,True
1021520067,1063614.0,516 WEST 181 STREET,40.8483569,-73.9322065,0,0,0,True
1008500001,1016239.0,149 5 AVENUE,40.7402066,-73.9899897,0,0,0,True
1013100041,1036525.0,160 EAST 56 STREET,40.7596136,-73.9687041,0,0,0,True
1012680021,1076265.0,25 WEST 52 STREET,40.7605736,-73.9775908,0,0,0,True
1012920048,1035788.0,32 EAST 57 STREET,40.7618707,-73.9720998,0,0,0,True
1012900006,1081153.0,3 EAST 54 STREET,40.7608776,-73.9743924,0,0,0,True
1005650015,1080133.0,849 BROADWAY,40.7344372,-73.9911524,0,0,0,True
1012910010,1035769.0,550 MADISON AVENUE,40.7614621,-73.9735042,0,0,0,True
1008320001,1082272.0,856 AVENUE OF THE AMER,40.7472111,-73.9889167,0,0,0,True
1000640015,1079039.0,160 BROADWAY,40.7093007,-74.0097604,0,0,0,True
1000200004,1000803.0,39 BROADWAY,40.7063442,-74.0134281,0,0,0,True
1012750001,1071438.0,461 5 AVENUE,40.7522303,-73.9813545,0,0,0,True
1008570024,,63 MADISON AVENUE,40.7434669,-73.9853699,0,0,0,False
1008690064,1017600.0,16 EAST 40 STREET,40.7515056,-73.981001,0,0,0,True
1007880073,1014489.0,250 WEST 39 STREET,40.7547236,-73.9903232,0,0,0,True
1007750058,1080536.0,226 WEST 26 STREET,40.7463552,-73.9956873,0,0,0,True
1012610030,1034250.0,7 WEST 45 STREET,40.755897,-73.9800576,0,0,0,True
1012620054,1034344.0,30 WEST 47 STREET,40.757091,-73.9801944,0,0,0,True
1007800010,1014338.0,251 WEST 30 STREET,40.7494704,-73.9942651,0,0,0,True
1012630014,1034477.0,37 WEST 47 STREET,40.7576592,-73.9803567,0,0,0,True
1008480043,1016176.0,242 PARK AVENUE SOUTH,40.7382494,-73.9881749,0,0,0,True
1008610075,1017004.0,315 5 AVENUE,40.7469005,-73.9851887,0,0,0,True
1015560040,1050296.0,320 EAST 94 STREET,40.782335,-73.947194,0,0,0,True
1009990029,1083716.0,1185 AVENUE OF THE AMER,40.7578984,-73.9825188,0,0,0,True
1012630005,1034471.0,67 WEST 47 STREET,40.7579915,-73.9811435,0,0,0,True
1010280033,1024896.0,894 7 AVENUE,40.7654186,-73.9805421,0,0,0,True
1008120019,1015239.0,135 WEST 36 STREET,40.7519073,-73.9883349,0,0,0,True
1008400028,1016000.0,21 WEST 38 STREET,40.7517174,-73.9839533,0,0,0,True
1005440001,1080084.0,393 LAFAYETTE STREET,40.7279185,-73.992647,0,0,0,True
1005440001,1080085.0,393 LAFAYETTE STREET,40.7279185,-73.992647,0,0,0,True
1012610036,1083858.0,550 5 AVENUE,40.7557927,-73.9796137,0,0,0,True
1000920024,1079095.0,116 NASSAU STREET,40.7106156,-74.0069147,0,0,0,True
1000290073,1000850.0,44 BEAVER STREET,40.7049035,-74.0107841,0,0,0,True
1012770027,1090825.0,51 EAST 42 STREET,40.7529654,-73.9785534,0,0,0,True
1013000033,1036193.0,730 3 AVENUE,40.7531756,-73.9733198,0,0,0,True
1008190039,1015420.0,122 5TH AVENUE,40.738409,-73.9925484,0,0,0,True
1012630034,1034484.0,580 5 AVENUE,40.7570771,-73.9789816,0,0,0,True
1008190039,1084649.0,122 5TH AVENUE,40.738409,-73.9925484,0,0,0,True
1007540078,1013540.0,362 9 AVENUE,40.7510872,-73.9973256,0,0,0,True
1000880010,1001237.0,30 VESEY STREET,40.7121525,-74.0098222,0,0,0,True
1001940042,1002310.0,60 WALKER STREET,40.7189434,-74.0027994,0,0,0,True
